Time_days,C_urine_ug/L,Excretion_ug_day,Cumulative_Excretion_ug
0.25,1.4249,1.2264,0.3066
0.5,1.3558,1.5191999999999999,0.6863999999999999
0.75,0.7111,1.0968,0.9605999999999999
1.0,0.5647,0.9912000000000001,1.2084
1.25,0.7753,0.8064,1.41
1.5,0.77,0.7727999999999999,1.6032
1.75,0.4613,0.684,1.7742
2.0,0.3689,0.7368,1.9584
2.25,0.4293,0.5664,2.1
2.5,0.5379,0.6384,2.2596000000000003
2.75,0.4734,0.4272,2.3664000000000005
3.0,0.3656,0.5184,2.4960000000000004
3.25,0.1205,0.37439999999999996,2.5896000000000003
3.5,0.1332,0.30720000000000003,2.6664000000000003
3.75,0.152,0.2352,2.7252000000000005
4.0,0.1157,0.2328,2.7834000000000003
4.25,0.2155,0.15360000000000001,2.8218000000000005
4.5,0.1732,0.18719999999999998,2.8686000000000007
5.0,0.139,0.18480000000000002,2.9610000000000007
5.5,0.0898,0.1392,3.0306000000000006
6.0,0.051,0.1056,3.0834000000000006
